user_id,round_id,timestamp,event_type,flight_id,flight_x,flight_y,human_x,human_y,agent_x,agent_y,dist_human_flight,dist_agent_flight,dist_human_agent,triggered_by,signal_type,dir_ratio,flight_speed,flight_angle,human_speed,human_direction,agent_speed,agent_direction
Agent Dominant_38,R1,2026-09-08T04:56:54.681400Z,flight_spawn,1,625,-20,985,590,320,590,707.89,682.37,665.0,system,NA,0.491,2.93,132.96,0.0,0.0,0.0,0.0
Agent Dominant_38,R1,2026-09-08T05:02:55.814447Z,agent_signal,1,474,371,985,728,456,566,623.26,195.19,552.74,agent,i_can,0.238,2.93,96.99,45.34,180.0,0.0,180.0
Agent Dominant_38,R1,2026-09-08T05:02:55.830617Z,behavior_monitor,1,474,371,985,728,456,566,623.26,195.38,553.1,system,NA,0.239,2.93,96.99,87.07,180.0,26.35,160.66
Agent Dominant_38,R1,2026-09-08T05:02:56.342464Z,behavior_monitor,1,517,443,958,728,487,566,524.97,126.41,498.12,system,NA,0.194,2.93,75.96,0.0,180.0,99.11,0.0
Agent Dominant_38,R1,2026-09-08T05:02:56.852814Z,behavior_monitor,1,544,525,965,719,521,566,463.81,47.11,469.65,system,NA,0.092,2.93,86.95,75.92,-53.34,99.11,0.0
Agent Dominant_38,R1,2026-09-08T05:02:57.074443Z,shot_hit,1,546,566,978,704,523,566,454.08,22.93,475.79,agent,NA,0.048,2.93,111.53,109.31,-34.84,0.0,84.65
Agent Dominant_38,R1,2026-09-08T05:02:57.075503Z,flight_spawn,2,730,-20,978,704,523,566,765.89,622.52,475.79,system,NA,0.448,2.88,46.04,109.31,-34.84,0.0,84.65
Agent Dominant_38,R1,2026-09-08T05:03:00.150776Z,agent_signal,2,1035,335,1074,435,714,564,107.63,394.4,382.99,agent,your_turn,0.786,2.88,40.82,144.32,-141.09,76.24,0.0
Agent Dominant_38,R1,2026-09-08T05:03:00.168158Z,behavior_monitor,2,1035,335,1074,435,715,564,107.63,393.61,382.08,system,NA,0.785,2.88,40.82,144.32,-141.09,57.18,0.0
Agent Dominant_38,R1,2026-09-08T05:03:00.680190Z,behavior_monitor,2,1115,369,1073,404,744,564,54.31,418.28,365.43,system,NA,0.885,2.88,32.54,135.97,-19.88,57.18,0.0
Agent Dominant_38,R1,2026-09-08T05:03:00.850089Z,shot_miss,2,1141,385,1095,397,754,564,47.64,426.41,379.61,human,NA,0.899,2.88,32.54,135.93,-17.82,57.18,0.0
Agent Dominant_38,R1,2026-09-08T05:03:01.190408Z,behavior_monitor,2,1186,416,1139,390,757,564,54.13,454.31,419.76,system,NA,0.894,2.88,32.54,129.41,0.0,0.0,0.0
Agent Dominant_38,R1,2026-09-08T05:03:01.700367Z,behavior_monitor,2,1249,476,1203,400,779,563,88.98,477.57,454.42,system,NA,0.843,2.88,53.35,129.04,29.22,76.24,0.0
Agent Dominant_38,R1,2026-09-08T05:03:02.208816Z,behavior_monitor,2,1303,545,1244,449,818,563,112.58,484.82,440.62,system,NA,0.812,2.88,53.35,127.7,60.45,76.24,0.0
Agent Dominant_38,R1,2026-09-08T05:03:02.716699Z,behavior_monitor,2,1380,572,1275,506,857,567,123.89,523.11,422.75,system,NA,0.809,2.88,5.66,127.83,61.19,76.24,0.0
Agent Dominant_38,R1,2026-09-08T05:03:03.227092Z,behavior_monitor,2,1443,602,1311,562,895,598,138.46,548.23,417.13,system,NA,0.798,1.97,143.51,134.21,49.5,130.47,54.25
Agent Dominant_38,R1,2026-09-08T05:03:03.741033Z,behavior_monitor,2,1391,620,1340,590,935,615,58.53,455.96,406.33,system,NA,0.886,1.97,146.02,130.81,45.91,130.47,54.25
Agent Dominant_38,R1,2026-09-08T05:03:04.064513Z,shot_hit,2,1362,641,1354,627,960,635,15.65,402.12,394.55,human,NA,0.963,1.97,146.02,129.41,90.0,130.47,54.25
Agent Dominant_38,R1,2026-09-08T05:03:04.065511Z,flight_spawn,3,797,-20,1354,627,960,635,854.42,675.39,394.55,system,NA,0.441,3.35,126.66,129.41,90.0,130.47,54.25
Agent Dominant_38,R1,2026-09-08T05:03:07.402225Z,agent_signal,3,392,366,1051,755,728,566,764.4,390.68,373.73,agent,i_can,0.338,3.35,83.09,138.8,156.7,76.24,180.0
Agent Dominant_38,R1,2026-09-08T05:03:07.419234Z,behavior_monitor,3,392,366,1051,755,726,566,764.4,389.23,375.18,system,NA,0.337,3.35,83.09,138.8,156.7,99.11,180.0
Agent Dominant_38,R1,2026-09-08T05:03:07.930630Z,behavior_monitor,3,380,464,995,803,676,566,703.15,313.34,397.98,system,NA,0.308,3.35,110.06,140.82,144.14,99.11,180.0
Agent Dominant_38,R1,2026-09-08T05:03:08.440544Z,behavior_monitor,3,304,519,935,841,625,566,708.46,324.74,414.2,system,NA,0.314,3.35,176.9,138.54,149.19,99.11,180.0
Agent Dominant_38,R1,2026-09-08T05:03:08.950545Z,behavior_monitor,3,209,539,873,874,575,566,744.11,367.2,428.48,system,NA,0.33,3.35,131.84,136.51,158.66,99.11,180.0
Agent Dominant_38,R1,2026-09-08T05:03:09.460940Z,behavior_monitor,3,167,627,807,894,524,610,693.77,358.03,400.55,system,NA,0.34,3.35,96.11,133.72,165.41,169.61,125.75
Agent Dominant_38,R1,2026-09-08T05:03:09.971652Z,behavior_monitor,3,138,721,741,899,474,681,629.12,338.27,345.36,system,NA,0.35,3.35,124.1,129.41,180.0,169.61,125.75
Agent Dominant_38,R1,2026-09-08T05:03:10.481514Z,behavior_monitor,3,186,789,675,899,423,751,501.06,239.69,292.44,system,NA,0.324,3.35,16.5,129.41,180.0,169.61,125.75
Agent Dominant_38,R1,2026-09-08T05:03:10.994156Z,behavior_monitor,3,282,827,609,899,373,821,334.71,90.31,249.2,system,NA,0.212,3.35,16.16,129.41,180.0,169.61,125.75
Agent Dominant_38,R1,2026-09-08T05:03:11.299927Z,shot_hit,3,341,848,593,899,340,842,257.16,5.63,259.08,agent,NA,0.021,3.35,44.39,129.41,0.0,169.61,125.75
Agent Dominant_38,R1,2026-09-08T05:03:11.301034Z,flight_spawn,4,671,-20,593,899,340,842,922.96,923.62,259.08,system,NA,0.5,2.83,135.0,129.41,0.0,169.61,125.75
Agent Dominant_38,R1,2026-09-08T05:03:14.736978Z,agent_signal,4,330,385,797,573,320,567,503.9,181.45,477.52,agent,i_can,0.265,2.83,110.29,135.78,-71.74,76.24,180.0
Agent Dominant_38,R1,2026-09-08T05:03:14.753703Z,behavior_monitor,4,330,385,797,573,318,567,503.9,181.55,479.21,system,NA,0.265,2.83,110.29,135.78,-71.74,99.11,180.0
Agent Dominant_38,R1,2026-09-08T05:03:15.261313Z,behavior_monitor,4,301,465,841,518,285,565,543.24,100.98,558.87,system,NA,0.157,2.83,110.29,139.73,-47.11,0.0,180.0
Agent Dominant_38,R1,2026-09-08T05:03:15.768573Z,behavior_monitor,4,269,538,871,456,258,565,607.39,29.45,623.27,system,NA,0.046,2.83,139.72,136.3,-66.14,99.11,180.0
Agent Dominant_38,R1,2026-09-08T05:03:15.820252Z,shot_hit,4,260,545,875,448,251,565,622.79,21.67,635.17,agent,NA,0.034,2.83,139.72,136.44,-66.0,99.11,180.0
Agent Dominant_38,R1,2026-09-08T05:03:15.821229Z,flight_spawn,5,573,-20,875,448,251,565,557.08,668.16,635.17,system,NA,0.545,3.31,52.8,136.44,-66.0,99.11,180.0
Agent Dominant_38,R1,2026-09-08T05:03:17.849016Z,agent_signal,5,765,310,793,454,384,565,146.31,457.91,423.49,agent,your_turn,0.758,3.31,46.18,33.94,-90.0,76.24,0.0
Agent Dominant_38,R1,2026-09-08T05:03:17.865695Z,behavior_monitor,5,765,310,793,454,385,565,146.31,457.11,422.55,system,NA,0.758,3.31,46.18,33.94,-90.0,57.18,0.0
Agent Dominant_38,R1,2026-09-08T05:03:18.375998Z,behavior_monitor,5,833,382,822,429,414,566,48.24,457.76,430.22,system,NA,0.905,3.31,46.18,137.08,-25.21,57.18,0.0
Agent Dominant_38,R1,2026-09-08T05:03:18.579313Z,shot_hit,5,859,411,847,417,426,565,13.45,459.96,446.69,human,NA,0.972,3.31,46.18,137.16,-23.69,57.18,0.0
Agent Dominant_38,R1,2026-09-08T05:03:18.580390Z,flight_spawn,6,769,-20,847,417,426,565,444.63,679.03,446.69,system,NA,0.604,2.83,135.0,137.16,-23.69,57.18,0.0
Agent Dominant_38,R1,2026-09-08T05:03:21.243484Z,agent_signal,6,650,350,1042,642,600,565,488.37,221.51,448.56,agent,i_can,0.312,2.83,47.87,136.58,28.09,76.24,0.0
Agent Dominant_38,R1,2026-09-08T05:03:21.260463Z,behavior_monitor,6,650,350,1042,642,601,565,488.37,221.14,446.9,system,NA,0.312,2.83,47.87,136.58,28.09,99.11,0.0
Agent Dominant_38,R1,2026-09-08T05:03:21.771740Z,behavior_monitor,6,708,412,1104,671,652,565,472.81,162.93,464.56,system,NA,0.256,2.83,47.87,135.0,23.34,99.11,0.0
Agent Dominant_38,R1,2026-09-08T05:03:22.281421Z,behavior_monitor,6,766,475,1168,694,703,565,458.1,109.3,482.61,system,NA,0.193,2.83,47.87,133.07,18.32,99.11,0.0
Agent Dominant_38,R1,2026-09-08T05:03:22.791274Z,behavior_monitor,6,822,538,1233,715,753,565,446.94,73.93,502.11,system,NA,0.142,2.83,47.87,132.62,17.03,99.11,0.0
Agent Dominant_38,R1,2026-09-08T05:03:23.301976Z,behavior_monitor,6,852,612,1298,734,804,601,462.04,48.95,510.95,system,NA,0.096,2.83,101.78,132.51,16.46,169.61,54.25
Agent Dominant_38,R1,2026-09-08T05:03:23.439106Z,shot_miss,6,854,637,1317,740,820,622,474.35,37.59,511.35,agent,NA,0.073,2.83,94.78,132.51,16.46,169.61,54.25
Agent Dominant_38,R1,2026-09-08T05:03:23.625707Z,shot_hit,6,852,668,1341,747,830,648,495.54,29.79,520.77,agent,NA,0.057,2.83,94.78,132.51,16.46,137.65,90.0
Agent Dominant_38,R1,2026-09-08T05:03:23.626876Z,flight_spawn,7,624,-20,1341,747,830,648,1049.76,699.0,520.77,system,NA,0.4,2.83,45.0,132.51,16.46,137.65,90.0
Agent Dominant_38,R1,2026-09-08T05:03:28.810219Z,agent_signal,7,1391,310,1355,414,1086,563,110.17,396.69,307.39,agent,your_turn,0.783,2.83,22.18,135.14,25.43,76.24,0.0
Agent Dominant_38,R1,2026-09-08T05:03:28.826784Z,behavior_monitor,7,1391,310,1355,414,1087,563,110.17,395.94,306.54,system,NA,0.782,2.83,22.18,135.09,25.39,57.18,0.0
Agent Dominant_38,R1,2026-09-08T05:03:29.339716Z,behavior_monitor,7,1445,362,1417,442,1116,563,84.78,385.83,324.82,system,NA,0.82,2.33,121.25,134.7,20.26,57.18,0.0
Agent Dominant_38,R1,2026-09-08T05:03:29.850084Z,behavior_monitor,7,1411,422,1422,422,1128,563,10.22,316.62,326.04,system,NA,0.969,2.33,130.22,144.9,-153.26,0.0,179.78
Agent Dominant_38,R1,2026-09-08T05:03:29.883953Z,shot_hit,7,1409,426,1417,420,1128,563,10.26,312.87,322.96,human,NA,0.968,2.33,130.22,142.95,-154.86,0.0,179.78
Agent Dominant_38,R1,2026-09-08T05:03:29.884621Z,flight_spawn,8,1322,-20,1417,420,1128,563,450.31,614.98,322.96,system,NA,0.577,2.83,135.0,142.95,-154.86,0.0,179.78
Agent Dominant_38,R1,2026-09-08T05:03:32.781848Z,agent_signal,8,1015,311,1377,345,1070,562,362.86,257.07,376.38,agent,i_can,0.415,2.83,110.95,137.91,130.42,76.24,180.0
Agent Dominant_38,R1,2026-09-08T05:03:32.798852Z,behavior_monitor,8,1015,311,1377,345,1068,562,362.86,256.72,377.76,system,NA,0.414,2.83,110.95,137.91,130.42,99.11,180.0
Agent Dominant_38,R1,2026-09-08T05:03:33.309346Z,behavior_monitor,8,976,383,1357,409,1017,563,381.18,184.72,372.58,system,NA,0.326,2.83,132.0,129.41,90.0,99.11,180.0
Agent Dominant_38,R1,2026-09-08T05:03:33.819170Z,behavior_monitor,8,953,461,1344,475,967,562,390.26,102.08,387.03,system,NA,0.207,2.83,101.1,126.12,104.29,93.6,180.0
Agent Dominant_38,R1,2026-09-08T05:03:34.262121Z,shot_miss,8,911,521,1344,534,919,563,433.17,43.36,425.49,agent,NA,0.091,2.83,157.71,116.28,90.0,93.6,180.0
Agent Dominant_38,R1,2026-09-08T05:03:34.330381Z,behavior_monitor,8,903,523,1344,540,914,563,441.33,42.48,430.15,system,NA,0.088,2.83,174.5,121.45,90.0,99.11,180.0
Agent Dominant_38,R1,2026-09-08T05:03:34.586923Z,shot_miss,8,859,532,1336,569,887,563,477.84,41.35,448.86,agent,NA,0.08,2.83,151.33,126.04,132.27,99.11,180.0
Agent Dominant_38,R1,2026-09-08T05:03:34.841869Z,behavior_monitor,8,823,551,1308,587,864,564,485.61,42.61,444.17,system,NA,0.081,2.83,151.33,139.51,148.73,99.11,180.0
Agent Dominant_38,R1,2026-09-08T05:03:34.909918Z,shot_miss,8,813,558,1298,593,856,564,485.83,43.1,442.81,agent,NA,0.081,2.83,151.33,139.36,149.04,99.11,180.0
Agent Dominant_38,R1,2026-09-08T05:03:35.350230Z,behavior_monitor,8,749,592,1247,624,814,587,498.4,64.45,434.65,system,NA,0.115,2.83,151.33,139.19,149.26,169.61,125.75
Agent Dominant_38,R1,2026-09-08T05:03:35.861598Z,behavior_monitor,8,673,633,1186,660,763,627,513.2,90.01,423.93,system,NA,0.149,2.83,151.33,139.19,149.26,99.11,180.0
Agent Dominant_38,R1,2026-09-08T05:03:36.369045Z,behavior_monitor,8,594,673,1125,696,713,669,530.76,118.4,412.83,system,NA,0.182,2.83,151.33,148.19,149.06,180.21,125.75
Agent Dominant_38,R1,2026-09-08T05:03:36.879476Z,behavior_monitor,8,533,723,1064,733,662,718,530.92,129.42,401.74,system,NA,0.196,2.83,156.48,139.67,148.92,169.61,125.75
Agent Dominant_38,R1,2026-09-08T05:03:37.389615Z,behavior_monitor,8,466,772,1003,770,612,767,536.65,145.7,391.02,system,NA,0.214,2.83,131.3,139.67,148.92,169.61,125.75
Agent Dominant_38,R1,2026-09-08T05:03:38.546676Z,flight_missed,8,437,952,862,854,495,910,436.72,72.27,371.15,system,NA,0.142,2.83,104.4,139.67,148.92,99.11,180.0
Agent Dominant_38,R1,2026-09-08T05:03:38.547913Z,flight_spawn,9,830,-20,862,854,495,910,875.28,988.52,371.15,system,NA,0.53,2.92,133.3,139.67,148.92,99.11,180.0
Agent Dominant_38,R1,2026-09-08T05:03:41.248574Z,agent_signal,9,545,310,907,613,552,675,471.66,364.94,360.06,agent,i_can,0.436,2.92,128.15,135.67,-107.47,130.47,-125.75
Agent Dominant_38,R1,2026-09-08T05:03:41.265005Z,behavior_monitor,9,545,310,907,613,551,672,471.66,362.57,361.33,system,NA,0.435,2.92,128.15,137.01,-109.17,169.61,-125.75
Agent Dominant_38,R1,2026-09-08T05:03:41.776451Z,behavior_monitor,9,485,369,881,547,500,603,433.8,234.18,384.83,system,NA,0.351,2.92,99.38,139.79,-112.22,169.61,-125.75
Agent Dominant_38,R1,2026-09-08T05:03:42.287772Z,behavior_monitor,9,528,435,869,490,496,565,345.6,134.33,380.14,system,NA,0.28,2.92,28.51,138.32,-20.68,99.11,0.0
Agent Dominant_38,R1,2026-09-08T05:03:42.798006Z,behavior_monitor,9,614,450,935,467,546,565,321.94,133.27,401.49,system,NA,0.293,2.92,7.93,137.29,-19.51,99.11,0.0
Agent Dominant_38,R1,2026-09-08T05:03:43.307810Z,behavior_monitor,9,684,490,997,474,596,563,312.95,114.48,410.35,system,NA,0.268,2.92,36.43,135.83,49.82,99.11,0.0
Agent Dominant_38,R1,2026-09-08T05:03:43.818955Z,behavior_monitor,9,765,515,1043,529,647,564,277.61,128.28,397.2,system,NA,0.316,2.92,12.94,141.11,49.94,108.84,1.73
Agent Dominant_38,R1,2026-09-08T05:03:44.330784Z,behavior_monitor,9,851,534,1090,583,697,564,243.82,156.63,393.05,system,NA,0.391,2.92,12.94,139.86,47.68,99.11,0.0
Agent Dominant_38,R1,2026-09-08T05:03:44.841262Z,behavior_monitor,9,916,576,1138,635,748,570,230.03,168.06,395.68,system,NA,0.422,2.92,43.3,136.23,46.21,99.11,0.0
Agent Dominant_38,R1,2026-09-08T05:03:45.351444Z,behavior_monitor,9,990,617,1180,688,798,612,202.12,192.65,389.23,system,NA,0.488,2.92,21.86,132.4,57.3,169.61,54.25
Agent Dominant_38,R1,2026-09-08T05:03:45.865005Z,behavior_monitor,9,1073,647,1187,724,848,643,137.92,224.37,348.05,system,NA,0.619,2.92,7.95,0.0,180.0,99.11,0.0
Agent Dominant_38,R1,2026-09-08T05:03:46.510852Z,shot_hit,9,1174,698,1168,684,912,695,15.78,261.93,256.6,human,NA,0.943,2.92,30.32,32.53,-90.0,169.61,54.25
