user_id,round_id,timestamp,event_type,flight_id,flight_x,flight_y,human_x,human_y,agent_x,agent_y,dist_human_flight,dist_agent_flight,dist_human_agent,triggered_by,signal_type,dir_ratio,flight_speed,flight_angle,human_speed,human_direction,agent_speed,agent_direction
Human Dominant_48,R1,2026-09-11T05:01:26.956164Z,flight_spawn,1,893,-20,701,593,780,589,642.51,619.69,79.13,system,NA,0.491,3.59,123.89,0.0,90.0,0.0,180.0
Human Dominant_48,R1,2026-09-11T05:07:08.716399Z,human_signal,1,891,-17,1127,754,367,754,806.09,932.69,760.0,human,your_turn,0.536,3.59,149.0,0.0,0.0,0.0,0.0
Human Dominant_48,R1,2026-09-11T05:07:08.719021Z,human_signal,1,891,-17,1127,754,367,754,806.09,932.69,760.0,human,your_turn,0.536,3.59,149.0,0.0,0.0,0.0,0.0
Human Dominant_48,R1,2026-09-11T05:07:08.719170Z,human_signal,1,891,-17,1127,754,367,754,806.09,932.69,760.0,human,your_turn,0.536,3.59,149.0,0.0,0.0,0.0,0.0
Human Dominant_48,R1,2026-09-11T05:07:08.733583Z,behavior_monitor,1,891,-17,1127,754,367,754,806.09,932.69,760.0,system,NA,0.536,3.59,149.0,0.0,0.0,0.0,0.0
Human Dominant_48,R1,2026-09-11T05:07:09.245894Z,behavior_monitor,1,798,38,1127,754,378,737,787.36,815.55,748.39,system,NA,0.509,3.59,149.0,0.0,0.0,169.61,-54.25
Human Dominant_48,R1,2026-09-11T05:07:09.755694Z,behavior_monitor,1,739,112,1127,754,429,666,748.94,634.93,702.68,system,NA,0.459,3.59,101.28,0.0,0.0,169.61,-54.25
Human Dominant_48,R1,2026-09-11T05:07:10.268363Z,behavior_monitor,1,698,208,1127,754,480,597,693.34,445.69,665.32,system,NA,0.391,3.59,129.46,0.0,0.0,169.61,-54.25
Human Dominant_48,R1,2026-09-11T05:07:10.777953Z,behavior_monitor,1,604,264,1127,754,531,566,715.64,310.62,624.35,system,NA,0.303,3.59,151.17,0.0,0.0,99.11,0.0
Human Dominant_48,R1,2026-09-11T05:07:11.288195Z,behavior_monitor,1,506,316,1080,754,518,566,721.41,250.42,592.28,system,NA,0.258,3.59,151.17,129.41,180.0,99.11,180.0
Human Dominant_48,R1,2026-09-11T05:07:11.801828Z,behavior_monitor,1,430,389,1020,754,467,567,693.62,181.95,583.01,system,NA,0.208,3.59,124.87,88.11,180.0,99.11,180.0
Human Dominant_48,R1,2026-09-11T05:07:12.311728Z,behavior_monitor,1,345,451,994,754,417,567,716.67,135.96,607.25,system,NA,0.159,3.59,125.93,0.0,180.0,99.11,180.0
Human Dominant_48,R1,2026-09-11T05:07:12.379509Z,human_signal,1,338,463,994,754,410,567,717.89,126.18,613.66,human,your_turn,0.149,3.59,125.93,0.0,180.0,99.11,180.0
