user_id,round_id,timestamp,event_type,flight_id,flight_x,flight_y,human_x,human_y,agent_x,agent_y,dist_human_flight,dist_agent_flight,dist_human_agent,triggered_by,signal_type,dir_ratio,flight_speed,flight_angle,human_speed,human_direction,agent_speed,agent_direction
No Signal_20,R1,2026-09-01T05:17:15.750226Z,flight_spawn,1,915,-20,961,729,752,565,751.24,608.15,265.51,system,NA,0.447,3.15,129.39,0.0,180.0,0.0,180.0
No Signal_20,R1,2026-09-01T05:21:32.890258Z,shot_hit,1,826,600,817,621,673,595,22.86,153.71,146.4,human,NA,0.871,3.15,19.96,136.78,-111.96,76.24,0.0
No Signal_20,R1,2026-09-01T05:21:32.892692Z,flight_spawn,2,53,-20,817,621,673,595,997.3,873.12,146.4,system,NA,0.467,2.83,135.0,136.78,-111.96,76.24,0.0
No Signal_20,R1,2026-09-01T05:21:40.095435Z,shot_miss,2,292,531,544,527,275,566,251.94,39.0,271.77,agent,NA,0.134,1.5,137.48,138.83,-35.11,0.0,-141.63
No Signal_20,R1,2026-09-01T05:21:40.469713Z,shot_hit,2,265,550,568,493,248,565,308.53,22.36,327.81,agent,NA,0.068,1.5,162.08,118.73,-90.0,108.02,-164.32
No Signal_20,R1,2026-09-01T05:21:40.470644Z,flight_spawn,3,1187,-20,568,493,248,565,804.7,1106.83,327.81,system,NA,0.579,3.32,127.01,118.73,-90.0,108.02,-164.32
No Signal_20,R1,2026-09-01T05:21:46.953762Z,flight_missed,3,1364,952,1074,706,691,787,379.79,693.22,391.97,system,NA,0.646,3.11,150.7,138.63,-138.56,130.47,54.25
No Signal_20,R1,2026-09-01T05:21:46.954913Z,flight_spawn,4,756,-20,1074,706,691,787,793.32,810.62,391.97,system,NA,0.505,2.83,135.0,138.63,-138.56,130.47,54.25
No Signal_20,R1,2026-09-01T05:21:54.980000Z,shot_miss,4,275,525,841,528,239,566,566.03,54.82,603.18,agent,NA,0.088,1.94,3.61,0.0,180.0,76.24,0.0
No Signal_20,R1,2026-09-01T05:21:55.201868Z,shot_miss,4,299,528,841,528,255,565,541.21,58.11,586.49,agent,NA,0.097,1.94,26.8,0.0,180.0,76.24,0.0
No Signal_20,R1,2026-09-01T05:21:55.439066Z,shot_miss,4,322,540,841,528,273,565,518.69,55.18,568.81,agent,NA,0.096,1.94,26.8,0.0,180.0,76.24,0.0
No Signal_20,R1,2026-09-01T05:21:57.849590Z,shot_hit,4,575,613,591,629,456,608,22.28,119.29,136.23,human,NA,0.843,1.94,4.7,135.19,163.19,130.47,54.25
No Signal_20,R1,2026-09-01T05:21:57.850746Z,flight_spawn,5,503,-20,591,629,456,608,655.64,630.26,136.23,system,NA,0.49,2.83,45.0,135.19,163.19,130.47,54.25
No Signal_20,R1,2026-09-01T05:22:06.412030Z,flight_missed,5,53,952,460,751,48,842,454.27,110.73,422.39,system,NA,0.196,2.59,72.85,129.41,0.0,130.47,125.75
No Signal_20,R1,2026-09-01T05:22:06.412433Z,flight_spawn,6,602,-20,460,751,48,842,784.8,1024.83,422.39,system,NA,0.566,2.83,135.0,129.41,0.0,130.47,125.75
No Signal_20,R1,2026-09-01T05:22:10.979737Z,shot_hit,6,907,498,900,509,367,566,12.26,544.32,536.95,human,NA,0.978,2.83,77.74,129.41,0.0,76.24,0.0
No Signal_20,R1,2026-09-01T05:22:10.980737Z,flight_spawn,7,275,-20,900,509,367,566,818.9,593.91,536.95,system,NA,0.42,2.89,46.23,129.41,0.0,76.24,0.0
No Signal_20,R1,2026-09-01T05:22:17.148445Z,shot_hit,7,65,727,434,727,88,721,368.32,23.23,345.89,agent,NA,0.059,1.8,42.58,138.89,158.19,130.47,125.75
No Signal_20,R1,2026-09-01T05:22:17.150220Z,flight_spawn,8,596,-20,434,727,88,721,764.65,899.25,345.89,system,NA,0.54,2.86,134.46,138.89,158.19,130.47,125.75
No Signal_20,R1,2026-09-01T05:22:22.995192Z,shot_miss,8,92,522,346,582,54,565,260.27,57.99,292.04,agent,NA,0.182,2.27,36.31,0.0,180.0,72.0,0.0
No Signal_20,R1,2026-09-01T05:22:23.200332Z,shot_miss,8,115,538,328,587,70,565,218.9,53.02,259.57,agent,NA,0.195,2.27,36.31,134.09,164.83,76.24,0.0
No Signal_20,R1,2026-09-01T05:22:23.372170Z,shot_miss,8,132,551,306,588,82,565,178.33,51.53,225.2,agent,NA,0.224,2.27,36.31,129.41,180.0,56.72,4.22
No Signal_20,R1,2026-09-01T05:22:24.109405Z,shot_miss,8,185,629,235,616,138,616,51.42,48.31,96.22,human,NA,0.484,2.27,84.61,142.63,132.85,130.47,54.25
No Signal_20,R1,2026-09-01T05:22:24.192852Z,conflict,8,187,642,225,627,146,627,41.38,43.95,79.36,system,NA,0.515,2.27,84.61,150.31,127.63,138.63,54.25
No Signal_20,R1,2026-09-01T05:22:27.290196Z,flight_missed,8,33,952,473,683,20,902,516.14,52.1,503.67,system,NA,0.092,1.38,37.35,134.93,-16.45,130.47,125.75
No Signal_20,R1,2026-09-01T05:22:27.291775Z,flight_spawn,9,591,-20,473,683,20,902,713.15,1085.27,503.67,system,NA,0.603,2.83,135.0,134.93,-16.45,130.47,125.75
No Signal_20,R1,2026-09-01T05:22:30.642523Z,shot_miss,9,755,336,742,387,223,621,52.36,603.17,569.47,human,NA,0.92,2.83,4.62,149.45,-54.39,130.47,-54.25
No Signal_20,R1,2026-09-01T05:22:30.966512Z,shot_miss,9,808,343,781,366,248,587,35.27,610.64,576.84,human,NA,0.945,2.83,21.46,132.42,-25.57,123.22,-54.25
